seed,policy,slot,n_patients,wait_mean,wait_median,wait_p90,wait_p95,p_wait_le_2,p_wait_le_5,p_overtime,overtime_mean_min,overtime_p95_min,util_m0,util_m1
13,new,q90,6687,1.000149543891132,1.0,1.0,1.0,1.0,1.0,0.068,2.8546589604459682,15.160155377317778,0.7971077601602365,0.7407311791594605
14,new,q90,6844,1.0,1.0,1.0,1.0,1.0,1.0,0.1,4.2902647570219035,29.38283941845146,0.8162848951616481,0.7529806489980014
15,new,q90,6588,1.0001517911353976,1.0,1.0,1.0,1.0,1.0,0.052,2.507093054669185,3.876604412981145,0.795850628986801,0.7318612781734031
16,new,q90,6680,1.0010479041916167,1.0,1.0,1.0,1.0,1.0,0.076,3.637305872304366,14.587318635861843,0.8009158295830439,0.7392760613390754
17,new,q90,6903,1.0001448645516442,1.0,1.0,1.0,1.0,1.0,0.108,4.419668475358926,34.16802454697073,0.8192419745169954,0.7574675548158515
18,new,q90,6677,1.000449303579452,1.0,1.0,1.0,1.0,1.0,0.084,2.3695001407722356,11.117083849483262,0.8012309840795417,0.7372472629637546
19,new,q90,6633,1.0,1.0,1.0,1.0,1.0,1.0,0.064,1.6355167350357325,10.370806638975415,0.7955973386664803,0.7353632370462475
20,new,q90,6732,1.0001485442661913,1.0,1.0,1.0,1.0,1.0,0.1,4.003425141921272,25.90994083620418,0.80237312299487,0.7427032608328829
1,new,q95,6914,1.0027480474399768,1.0,1.0,1.0,1.0,1.0,0.116,3.6866106818829056,21.78351271175322,0.8248313011411079,0.7578412209646296
2,new,q95,6720,1.003125,1.0,1.0,1.0,1.0,1.0,0.108,3.340115774094789,24.750199844610425,0.7976220514704022,0.7448188465525958
3,new,q95,6755,1.0026646928201333,1.0,1.0,1.0,1.0,1.0,0.084,2.4941941549269635,12.710744173584967,0.8022099067340024,0.747533146732363
4,new,q95,6645,1.0040632054176073,1.0,1.0,1.0,1.0,1.0,0.084,2.8945372134548957,22.68617584411843,0.7997800946382446,0.7389094535527797
5,new,q95,6790,1.0023564064801178,1.0,1.0,1.0,1.0,1.0,0.112,4.078506346554447,34.34239446700744,0.8155353952651114,0.7481409284250723
6,new,q95,6778,1.0013278253172027,1.0,1.0,1.0,1.0,1.0,0.148,4.67655936960415,36.27399244020933,0.8196395357020404,0.7465241661574745
7,new,q95,6641,1.0007528986598404,1.0,1.0,1.0,1.0,1.0,0.092,4.071392405349036,29.344038705639004,0.7969029607693452,0.7388932483042138
8,new,q95,6763,1.0025136773621175,1.0,1.0,1.0,1.0,1.0,0.108,2.3589296419439987,14.694173534078924,0.804974567684108,0.7476512587385444
9,new,q95,6753,1.002517399674219,1.0,1.0,1.0,1.0,1.0,0.128,3.2950031367305015,27.524423769150815,0.8094893853559638,0.7480860316316658
10,new,q95,6663,1.0016509079993996,1.0,1.0,1.0,1.0,1.0,0.108,3.1582001495373095,25.76653440342556,0.8020331095354265,0.7360642905744406
11,new,q95,6808,1.0020564042303173,1.0,1.0,1.0,1.0,1.0,0.084,3.440074205734566,22.460948649959903,0.8139530135774324,0.7487057959878892
12,new,q95,6697,1.001343885321786,1.0,1.0,1.0,1.0,1.0,0.092,3.7598078036174614,25.372240298583375,0.7978439227094277,0.7443771285319466
13,new,q95,6673,1.0022478645286976,1.0,1.0,1.0,1.0,1.0,0.088,2.7878740535172586,19.75779590762554,0.8005010017498928,0.748495194321112
14,new,q95,6791,1.0026505669268149,1.0,1.0,1.0,1.0,1.0,0.1,3.961145675361051,31.314433961449776,0.8161716803974554,0.7539803675676927
15,new,q95,6694,1.0014938751120406,1.0,1.0,1.0,1.0,1.0,0.068,2.8550096128764935,15.983953382375798,0.8073633694497077,0.7387908495016786
16,new,q95,6651,1.0027063599458728,1.0,1.0,1.0,1.0,1.0,0.084,1.970246897177979,14.357004333530309,0.804169539347135,0.7322396158618343
17,new,q95,6851,1.0026273536709969,1.0,1.0,1.0,1.0,1.0,0.128,4.7799272779863005,33.189394408176476,0.8177672640139921,0.7578308135495894
18,new,q95,6638,1.0025610123531183,1.0,1.0,1.0,1.0,1.0,0.096,3.5828245004992643,21.453935357810025,0.7940386662877256,0.7335038665968407
19,new,q95,6688,1.0010466507177034,1.0,1.0,1.0,1.0,1.0,0.084,2.1608061203503057,16.16993218917804,0.8084752022368474,0.7347834463345242
20,new,q95,6742,1.0025215069712252,1.0,1.0,1.0,1.0,1.0,0.132,3.3225959352748036,24.100365606436778,0.8094971783752998,0.7422556111542247
